codigo_fns	codigo_interno	descripcion	ambulatorio	urgencia	hospitalizado
101001	10100101	CONSULTA URGENCIA HABIL	NA	30	NA
101001	10100102	CONSULTA URGENCIA INHABIL	NA	45	NA
No aplica	10100201	INTERCONSULTA NEUROCIRUGIA	NA	100	NA
No aplica	10100203	INTERCONSULTA UROLOGIA	NA	60	NA
No aplica	10100204	INTERCONSULTA MAXILOFACIAL	NA	60	NA
No aplica	10100205	INTERCONSULTA GINECOLOGIA	NA	60	NA
No aplica	10100206	INTERCONSULTA TRAUMATOLOGIA	NA	60	NA
No aplica	10100208	INTERCONSULTA CIRUGIA GENERAL	NA	60	NA
No aplica	10100209	INTERCONSULTA CIR.REPARADORA Y RECONST.	NA	100	NA
No aplica	10100213	INTERCONSULTA MEDICINA INTERNA	NA	60	NA
No aplica	600100100	INTERCONSULTA ESPECIALISTA PAC. HOSPIT.	NA	60	NA
101001	10100100	Consulta medica electiva	21888	NA	NA
101201	10120100	Consulta Medica de Especialidad en Dermatologia	3951	NA	NA
101203	10120300	Consulta Medica de Especialidad en Neurocirugia	439	NA	NA
101300	10130000	Consulta Medica otras Especialidades	27576	NA	NA
101301	10130100	Consulta Medica de Especialidad en Cardiologia	307	NA	NA
101304	10130400	Consulta Medica de Especialidad en Inmunologia	27576	NA	NA
101307	10130700	Consulta Medica de Especialidad en Medicina Interna	27576	NA	NA
101308	10130800	Consulta Medica de Especialidad en Obstetricia y Ginecologia	3064	NA	NA
101309	10130900	Consulta Medica de Especialidad en Pediatria	27576	NA	NA
101310	10131000	Consulta Medica de Especialidad en Traumatologia y Ortopedia	3064	NA	NA
101311	10131100	Consulta Medica de Especialidad en Urologia	439	NA	NA
101312	10131200	Consulta Medica de Especialidad en Cirugia General	27576	NA	NA
101316	10131600	Consulta Medica de Especialidad en Cirugia Plastica y Reparadora	3064	NA	NA
101317	10131700	Consulta Medica de Especialidad en Cirugia Pediatrica	27576	NA	NA
101313	101313	Consulta Medica de Especialidad en Cirugia de Cabeza, Cuello y Maxilofacial	27576	NA	NA
301002	30100200	Acido folico o folatos	664	7968	996
301007	30100700	Anticoagulantes circulantes o anticoagulante lupico	645	774	9675
301008	30100800	Antitrombina III	645	774	9675
301011	30101100	Coagulacion, tiempo de	206	2472	309
301014	30101400	Prueba de antiglobulina directa	178	2136	267
301015	30101500	Coombs indirecto, prueba de	299	3588	4485
301021	30102100	Fibrinogeno	318	3816	477
301024	30102400	Factor V	31	372	465
301026	30102600	Ferritina	752	9024	1128
301027	30102700	Fibrinogeno, productos de degradacion del	667	8004	10005
301028	30102800	Fierro serico	293	3516	4395
301029	30102900	Fierro, capacidad de fijacion del (incluye fierro serico)	614	7368	921
301030	30103000	Fierro, cinetica del (cada determinacion)	72	864	108
301034	30103400	Clasificacion sanguinea AB0 y RhD	331	3972	4965
301036	30103600	Hematocrito (proc. aut.)	980	1176	147
301038	30103800	Hemoglobina en sangre total (proc. aut.)	980	1176	147
301041	30104100	Hemoglobina glicada A1c	626	7512	939
301042	30104200	Hemoglobina plasmatica	138	1656	207
301044	30104400	Electroforesis de hemoglobina	664	7968	996
